"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2014-05-25,1265,1096,233,217,16,21.26
2014-05-26,1226,1056,248,235,13,23.48
2014-05-27,995,852,212,194,18,24.88
2014-05-28,1192,942,217,206,11,23.04
2014-05-29,1126,934,204,188,16,21.84
2014-05-30,1337,1094,268,252,16,24.5
2014-05-31,1236,1044,229,212,17,21.93
2014-06-01,1179,1006,192,174,18,19.09
2014-06-02,1159,1005,251,226,25,24.98
2014-06-03,1116,928,229,212,17,24.68
2014-06-04,1007,852,218,203,15,25.59
2014-06-05,1126,1000,258,242,16,25.8
2014-06-06,1138,909,241,214,27,26.51
2014-06-07,1240,1047,221,199,22,21.11
2014-06-08,1246,1041,202,189,13,19.4
2014-06-09,1259,1119,206,197,9,18.41
2014-06-10,1269,1074,281,259,22,26.16
2014-06-11,1164,993,221,204,17,22.26
2014-06-12,1213,1020,250,232,18,24.51
2014-06-13,1063,890,212,188,24,23.82
2014-06-14,1030,892,201,187,14,22.53
2014-06-15,1264,1064,197,179,18,18.52
2014-06-16,1313,1113,250,230,20,22.46
2014-06-17,1156,964,237,221,16,24.59
2014-06-18,1151,994,236,213,23,23.74
2014-06-19,1079,919,214,200,14,23.29
2014-06-20,1164,997,265,246,19,26.58
2014-06-21,1218,1042,216,199,17,20.73
2014-06-22,1290,1146,230,214,16,20.07
2014-06-23,1329,1128,249,231,18,22.07
2014-06-24,1133,949,225,205,20,23.71
2014-06-25,1142,986,244,221,23,24.75
2014-06-26,1107,930,235,217,18,25.27
2014-06-27,1128,917,234,216,18,25.52
2014-06-28,1168,1022,254,238,16,24.85
2014-06-29,1208,1061,244,221,23,23
2014-06-30,1236,1047,253,235,18,24.16
2014-07-01,985,842,208,191,17,24.7
2014-07-02,1092,901,227,209,18,25.19
2014-07-03,1041,897,233,219,14,25.98
2014-07-04,1114,936,200,185,15,21.37
2014-07-05,1216,985,205,192,13,20.81
2014-07-06,1324,1102,187,164,23,16.97
2014-07-07,1233,1021,260,243,17,25.47
2014-07-08,1059,862,222,208,14,25.75
2014-07-09,1020,856,212,195,17,24.77
2014-07-10,890,749,219,202,17,29.24
2014-07-11,1136,934,236,224,12,25.27
2014-07-12,1152,976,215,197,18,22.03
2014-07-13,1224,1048,201,184,17,19.18
2014-07-14,1250,1060,206,191,15,19.43
2014-07-15,1086,917,217,206,11,23.66
2014-07-16,1162,969,227,211,16,23.43
2014-07-17,1080,920,224,210,14,24.35
2014-07-18,1183,940,224,208,16,23.83
2014-07-19,1185,957,197,188,9,20.59
2014-07-20,1213,1024,187,174,13,18.26
2014-07-21,1213,1022,250,233,17,24.46
2014-07-22,1155,969,246,232,14,25.39
2014-07-23,1128,975,263,251,12,26.97
2014-07-24,1119,944,218,206,12,23.09
2014-07-25,1109,931,225,213,12,24.17
2014-07-26,1190,1013,247,222,25,24.38
2014-07-27,1116,950,226,209,17,23.79
2014-07-28,1198,1025,257,241,16,25.07
2014-07-29,908,814,214,207,7,26.29
2014-07-30,978,858,228,214,14,26.57
2014-07-31,1013,862,238,219,19,27.61
2014-08-01,1021,845,237,224,13,28.05
2014-08-02,936,830,191,177,14,23.01
2014-08-03,1068,875,176,162,14,20.11
2014-08-04,1075,919,234,215,19,25.46
2014-08-05,1063,889,237,215,22,26.66
2014-08-06,1011,882,228,210,18,25.85
2014-08-07,1033,883,238,220,18,26.95
2014-08-08,1038,856,229,207,22,26.75
2014-08-09,1110,929,200,180,20,21.53
2014-08-10,1069,897,177,163,14,19.73
2014-08-11,1150,977,268,258,10,27.43
2014-08-12,1091,892,238,214,24,26.68
2014-08-13,1006,857,245,227,18,28.59
2014-08-14,988,823,225,207,18,27.34
2014-08-15,926,783,167,161,6,21.33
2014-08-16,1149,961,213,199,14,22.16
2014-08-17,1058,893,190,172,18,21.28
2014-08-18,1203,1022,255,236,19,24.95
2014-08-19,996,767,197,182,15,25.68
2014-08-20,957,795,230,218,12,28.93
2014-08-21,1003,793,206,193,13,25.98
2014-08-22,999,808,214,199,15,26.49
2014-08-23,1058,886,211,194,17,23.81
2014-08-24,1064,903,190,169,21,21.04
2014-08-25,1118,913,239,213,26,26.18
2014-08-26,982,811,191,177,14,23.55
2014-08-27,1057,886,241,225,16,27.2
2014-08-28,1042,891,243,222,21,27.27
2014-08-29,1098,914,231,209,22,25.27
2014-08-30,1146,942,201,186,15,21.34
2014-08-31,1048,895,177,159,18,19.78
2014-09-01,990,826,231,220,11,27.97
2014-09-02,899,757,211,198,13,27.87
2014-09-03,999,859,207,197,10,24.1
2014-09-04,1036,871,226,215,11,25.95
2014-09-05,1062,883,245,227,18,27.75
2014-09-06,1202,971,237,215,22,24.41
2014-09-07,1278,1081,206,199,7,19.06
2014-09-08,1253,1067,270,257,13,25.3
2014-09-09,1117,920,249,236,13,27.07
2014-09-10,1055,897,202,189,13,22.52
2014-09-11,1010,908,233,219,14,25.66
2014-09-12,1097,897,238,227,11,26.53
2014-09-13,1167,945,226,199,27,23.92
2014-09-14,1234,1034,192,181,11,18.57
2014-09-15,1202,1022,241,223,18,23.58
2014-09-16,1081,945,242,228,14,25.61
2014-09-17,1143,990,240,221,19,24.24
2014-09-18,1126,953,209,199,10,21.93
2014-09-19,1138,980,256,241,15,26.12
2014-09-20,1195,1023,240,226,14,23.46
2014-09-21,1088,937,193,181,12,20.6
2014-09-22,1154,1013,244,230,14,24.09
2014-09-23,1030,893,280,256,24,31.35
2014-09-24,1098,913,227,211,16,24.86
2014-09-25,1075,961,260,246,14,27.06
2014-09-26,1170,965,254,237,17,26.32
2014-09-27,1285,1038,220,203,17,21.19
2014-09-28,1300,1046,187,176,11,17.88
2014-09-29,1250,1063,244,227,17,22.95
2014-09-30,1203,985,227,213,14,23.05
2014-10-01,1183,950,219,206,13,23.05
2014-10-02,1287,1032,250,226,24,24.22
2014-10-03,1253,1019,252,234,18,24.73
2014-10-04,1280,1051,245,223,22,23.31
2014-10-05,1271,1050,205,197,8,19.52
2014-10-06,1300,1072,249,238,11,23.23
2014-10-07,1345,967,293,277,16,30.3
2014-10-08,1407,966,269,256,13,27.85
2014-10-09,1413,1048,341,321,20,32.54
2014-10-10,1509,1035,310,289,21,29.95
2014-10-11,1444,1043,283,262,21,27.13
2014-10-12,1608,1116,258,242,16,23.12
2014-10-13,1689,1176,339,318,21,28.83
2014-10-14,1495,1013,284,268,16,28.04
2014-10-15,1176,835,217,191,26,25.99
2014-10-16,1373,946,218,206,12,23.04
2014-10-17,1401,983,242,222,20,24.62
2014-10-18,1503,1060,209,199,10,19.72
2014-10-19,1521,990,208,185,23,21.01
2014-10-20,1514,1073,240,225,15,22.37
2014-10-21,1212,852,212,199,13,24.88
2014-10-22,1152,801,213,199,14,26.59
2014-10-23,1248,867,209,192,17,24.11
2014-10-24,1164,853,219,207,12,25.67
2014-10-25,1256,885,187,177,10,21.13
2014-10-26,1324,930,180,166,14,19.35
2014-10-27,1317,960,237,227,10,24.69
2014-10-28,937,713,180,158,22,25.25
2014-10-29,1049,764,216,198,18,28.27
2014-10-30,1109,785,214,200,14,27.26
2014-10-31,1200,837,207,190,17,24.73
2014-11-01,1395,904,201,180,21,22.23
2014-11-02,1369,935,194,181,13,20.75
2014-11-03,1462,1040,251,232,19,24.13
2014-11-04,1260,881,218,202,16,24.74
