"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2015-09-13,1420,975,178,172,6,18.26
2015-09-14,1528,1080,242,228,14,22.41
2015-09-15,1328,922,230,214,16,24.95
2015-09-16,1312,915,227,212,15,24.81
2015-09-17,1270,912,232,216,16,25.44
2015-09-18,1337,933,231,217,14,24.76
2015-09-19,1445,963,191,183,8,19.83
2015-09-20,1467,1011,181,169,12,17.9
2015-09-21,1518,1050,250,236,14,23.81
2015-09-22,1285,850,205,189,16,24.12
2015-09-23,1310,919,204,193,11,22.2
2015-09-24,1353,926,204,194,10,22.03
2015-09-25,1327,914,229,207,22,25.05
2015-09-26,1457,991,221,211,10,22.3
2015-09-27,1483,1004,219,201,18,21.81
2015-09-28,1526,1059,262,244,18,24.74
2015-09-29,1321,911,219,208,11,24.04
2015-09-30,1400,959,199,187,12,20.75
2015-10-01,1391,969,216,202,14,22.29
2015-10-02,1441,977,250,239,11,25.59
2015-10-03,1580,1092,215,195,20,19.69
2015-10-04,1417,988,193,184,9,19.53
2015-10-05,1613,1143,240,228,12,21
2015-10-06,1453,983,237,228,9,24.11
2015-10-07,1371,940,227,206,21,24.15
2015-10-08,1387,973,213,199,14,21.89
2015-10-09,1439,954,214,202,12,22.43
2015-10-10,1483,991,223,203,20,22.5
2015-10-11,1514,1009,185,169,16,18.33
2015-10-12,1575,1304,227,216,11,17.41
2015-10-13,1344,1100,216,199,17,19.64
2015-10-14,1366,1110,218,207,11,19.64
2015-10-15,1356,1117,231,220,11,20.68
2015-10-16,1344,1090,213,206,7,19.54
2015-10-17,1327,1092,212,206,6,19.41
2015-10-18,1373,1169,185,168,17,15.83
2015-10-19,1486,1200,240,231,9,20
2015-10-20,1255,1037,223,216,7,21.5
2015-10-21,1289,1097,248,232,16,22.61
2015-10-22,1226,1028,230,214,16,22.37
2015-10-23,1310,1057,208,200,8,19.68
2015-10-24,1450,1206,223,211,12,18.49
2015-10-25,1452,1229,217,205,12,17.66
2015-10-26,1447,1187,258,235,23,21.74
2015-10-27,1181,995,203,191,12,20.4
2015-10-28,1348,1105,240,226,14,21.72
2015-10-29,1070,914,207,199,8,22.65
2015-10-30,1285,1074,215,203,12,20.02
2015-10-31,1323,1123,238,221,17,21.19
2015-11-01,1268,1064,215,203,12,20.21
2015-11-02,1363,1118,237,216,21,21.2
2015-11-03,1233,1002,206,193,13,20.56
2015-11-04,1344,1095,229,217,12,20.91
2015-11-05,1316,1076,220,207,13,20.45
2015-11-06,1340,1067,241,234,7,22.59
2015-11-07,1559,1218,204,182,22,16.75
2015-11-08,1605,1325,221,214,7,16.68
2015-11-09,1597,1294,260,234,26,20.09
2015-11-10,1422,1129,222,206,16,19.66
2015-11-11,1422,1160,198,184,14,17.07
2015-11-12,1547,1245,233,214,19,18.71
2015-11-13,1539,1270,235,227,8,18.5
2015-11-14,1482,1209,251,239,12,20.76
2015-11-15,1461,1192,190,176,14,15.94
2015-11-16,1588,1237,235,220,15,19
2015-11-17,1323,1087,219,200,19,20.15
2015-11-18,1378,1104,253,240,13,22.92
2015-11-19,1429,1178,223,216,7,18.93
2015-11-20,1372,1096,233,216,17,21.26
2015-11-21,1363,1112,221,208,13,19.87
2015-11-22,1346,1102,181,172,9,16.42
2015-11-23,1428,1200,227,212,15,18.92
2015-11-24,1215,954,190,179,11,19.92
2015-11-25,1266,1029,213,200,13,20.7
2015-11-26,1390,1124,219,209,10,19.48
2015-11-27,1328,1074,217,206,11,20.2
2015-11-28,1383,1122,215,206,9,19.16
2015-11-29,1331,1106,186,181,5,16.82
2015-11-30,1303,1099,232,217,15,21.11
